INFO 2025-05-04 15:50:53,069 autoreload Watching for file changes with StatReloader
WARNING 2025-05-04 16:17:28,126 log Forbidden: /api/events/
WARNING 2025-05-04 16:17:28,128 log Forbidden: /api/events/
WARNING 2025-05-04 16:17:28,129 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:17:28,130 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:17:29,182 log Forbidden: /api/events/
WARNING 2025-05-04 16:17:29,184 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:17:29,223 log Forbidden: /api/events/
WARNING 2025-05-04 16:17:29,224 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:17:31,295 log Forbidden: /api/events/
WARNING 2025-05-04 16:17:31,301 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:17:31,369 log Forbidden: /api/events/
WARNING 2025-05-04 16:17:31,371 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:17:55,132 log Forbidden: /api/events/
WARNING 2025-05-04 16:17:55,134 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:17:55,149 log Forbidden: /api/events/
WARNING 2025-05-04 16:17:55,150 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:17:56,213 log Forbidden: /api/events/
WARNING 2025-05-04 16:17:56,218 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:17:56,230 log Forbidden: /api/events/
WARNING 2025-05-04 16:17:56,231 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:17:58,292 log Forbidden: /api/events/
WARNING 2025-05-04 16:17:58,295 log Forbidden: /api/events/
WARNING 2025-05-04 16:17:58,295 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:17:58,300 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:18:55,561 log Forbidden: /api/events/
WARNING 2025-05-04 16:18:55,564 log Forbidden: /api/events/
WARNING 2025-05-04 16:18:55,566 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:18:55,565 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:18:56,649 log Forbidden: /api/events/
WARNING 2025-05-04 16:18:56,650 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:18:56,679 log Forbidden: /api/events/
WARNING 2025-05-04 16:18:56,680 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:18:58,698 log Forbidden: /api/events/
WARNING 2025-05-04 16:18:58,700 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:18:58,746 log Forbidden: /api/events/
WARNING 2025-05-04 16:18:58,747 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:19:54,772 log Forbidden: /api/events/
WARNING 2025-05-04 16:19:54,777 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:19:54,785 log Forbidden: /api/events/
WARNING 2025-05-04 16:19:54,788 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:19:55,896 log Forbidden: /api/events/
WARNING 2025-05-04 16:19:55,899 log Forbidden: /api/events/
WARNING 2025-05-04 16:19:55,899 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:19:55,900 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:19:57,967 log Forbidden: /api/events/
WARNING 2025-05-04 16:19:57,969 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:19:57,989 log Forbidden: /api/events/
WARNING 2025-05-04 16:19:57,991 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:20:55,224 log Forbidden: /api/events/
WARNING 2025-05-04 16:20:55,224 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:20:55,243 log Forbidden: /api/events/
WARNING 2025-05-04 16:20:55,244 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:20:56,315 log Forbidden: /api/events/
WARNING 2025-05-04 16:20:56,316 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:20:56,318 log Forbidden: /api/events/
WARNING 2025-05-04 16:20:56,319 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:20:58,442 log Forbidden: /api/events/
WARNING 2025-05-04 16:20:58,443 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:20:58,447 log Forbidden: /api/events/
WARNING 2025-05-04 16:20:58,449 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:21:57,905 log Forbidden: /api/events/
WARNING 2025-05-04 16:21:57,907 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:21:57,924 log Forbidden: /api/events/
WARNING 2025-05-04 16:21:57,925 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:21:59,001 log Forbidden: /api/events/
WARNING 2025-05-04 16:21:59,002 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:21:59,018 log Forbidden: /api/events/
WARNING 2025-05-04 16:21:59,019 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:22:01,130 log Forbidden: /api/events/
WARNING 2025-05-04 16:22:01,131 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:22:01,145 log Forbidden: /api/events/
WARNING 2025-05-04 16:22:01,146 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:22:54,758 log Forbidden: /api/events/
WARNING 2025-05-04 16:22:54,763 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:22:54,782 log Forbidden: /api/events/
WARNING 2025-05-04 16:22:54,783 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:22:55,873 log Forbidden: /api/events/
WARNING 2025-05-04 16:22:55,874 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:22:55,888 log Forbidden: /api/events/
WARNING 2025-05-04 16:22:55,889 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:22:58,000 log Forbidden: /api/events/
WARNING 2025-05-04 16:22:58,004 log Forbidden: /api/events/
WARNING 2025-05-04 16:22:58,005 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:22:58,009 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:23:55,117 log Forbidden: /api/events/
WARNING 2025-05-04 16:23:55,120 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:23:55,169 log Forbidden: /api/events/
WARNING 2025-05-04 16:23:55,171 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:23:56,221 log Forbidden: /api/events/
WARNING 2025-05-04 16:23:56,224 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:23:56,236 log Forbidden: /api/events/
